
==========================================================================================
SOFTMAX GOLDEN MODEL -- TEST SUMMARY
==========================================================================================
MSE target  : <= 0.025
Avg MSE     : 1.026383e-04
Max MSE     : 8.580966e-03
Overall     : ALL PASS
==========================================================================================
Test  0 | bin neg_extreme  N=8  LOW      | N= 8 | MSE=1.8891e-04 | MAE=8.6976e-03 | MaxAE=3.3653e-02 | Sum_hw=1.0004 | PASS
Test 169 | rand-119 N=96                  | N=96 | MSE=1.2488e-05 | MAE=1.0252e-03 | MaxAE=2.8187e-02 | Sum_hw=1.0516 | PASS
Test 170 | rand-120 N=272                 | N=272 | MSE=1.9315e-05 | MAE=3.9851e-04 | MaxAE=5.5879e-02 | Sum_hw=0.9915 | PASS
Test 171 | rand-121 N=485                 | N=485 | MSE=1.1778e-05 | MAE=2.2697e-04 | MaxAE=7.0696e-02 | Sum_hw=1.0313 | PASS
Test 172 | rand-122 N=46                  | N=46 | MSE=4.1455e-05 | MAE=1.1378e-03 | MaxAE=4.2599e-02 | Sum_hw=0.9477 | PASS
Test 173 | rand-123 N=152                 | N=152 | MSE=1.5187e-05 | MAE=3.7906e-04 | MaxAE=4.7459e-02 | Sum_hw=0.9424 | PASS
Test 174 | rand-124 N=410                 | N=410 | MSE=6.0080e-06 | MAE=1.5753e-04 | MaxAE=4.7267e-02 | Sum_hw=1.0319 | PASS
Test 175 | rand-125 N=428                 | N=428 | MSE=3.4061e-06 | MAE=2.5085e-04 | MaxAE=3.2458e-02 | Sum_hw=1.0544 | PASS
Test 176 | rand-126 N=217                 | N=217 | MSE=3.6886e-05 | MAE=5.7937e-04 | MaxAE=8.7055e-02 | Sum_hw=1.0484 | PASS
Test 177 | rand-127 N=210                 | N=210 | MSE=3.3069e-05 | MAE=6.5316e-04 | MaxAE=7.5445e-02 | Sum_hw=1.1104 | PASS
Test 178 | rand-128 N=230                 | N=230 | MSE=1.9489e-05 | MAE=2.9483e-04 | MaxAE=6.6947e-02 | Sum_hw=0.9322 | PASS
Test 179 | rand-129 N= 6                  | N= 6 | MSE=7.8057e-04 | MAE=1.1406e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 180 | rand-130 N=200                 | N=200 | MSE=2.3220e-05 | MAE=3.4164e-04 | MaxAE=6.8147e-02 | Sum_hw=0.9317 | PASS
Test 181 | rand-131 N=313                 | N=313 | MSE=1.2665e-05 | MAE=4.3102e-04 | MaxAE=5.4696e-02 | Sum_hw=1.1327 | PASS
Test 182 | rand-132 N=305                 | N=305 | MSE=3.7905e-06 | MAE=2.3508e-04 | MaxAE=1.9318e-02 | Sum_hw=0.9613 | PASS
Test 183 | rand-133 N=316                 | N=316 | MSE=7.1191e-06 | MAE=2.2398e-04 | MaxAE=4.3176e-02 | Sum_hw=0.9297 | PASS
Test 184 | rand-134 N=24                  | N=24 | MSE=1.7784e-04 | MAE=2.7987e-03 | MaxAE=6.5304e-02 | Sum_hw=0.9328 | PASS
Test 185 | rand-135 N=209                 | N=209 | MSE=1.5353e-05 | MAE=3.5422e-04 | MaxAE=5.2878e-02 | Sum_hw=1.0326 | PASS
Test 186 | rand-136 N=490                 | N=490 | MSE=4.3880e-07 | MAE=6.6765e-05 | MaxAE=1.0620e-02 | Sum_hw=0.9673 | PASS
Test 187 | rand-137 N=195                 | N=195 | MSE=1.8668e-05 | MAE=3.2740e-04 | MaxAE=6.0254e-02 | Sum_hw=0.9362 | PASS
Test 188 | rand-138 N=272                 | N=272 | MSE=2.0399e-05 | MAE=4.7709e-04 | MaxAE=5.3372e-02 | Sum_hw=0.9770 | PASS
Test 189 | rand-139 N=316                 | N=316 | MSE=1.3306e-05 | MAE=6.8097e-04 | MaxAE=4.5363e-02 | Sum_hw=1.2141 | PASS
Test 190 | rand-140 N=406                 | N=406 | MSE=1.4624e-05 | MAE=2.7697e-04 | MaxAE=7.4297e-02 | Sum_hw=1.0768 | PASS
Test 191 | rand-141 N=398                 | N=398 | MSE=3.1091e-06 | MAE=1.5238e-04 | MaxAE=3.2086e-02 | Sum_hw=1.0035 | PASS
Test 192 | rand-142 N=156                 | N=156 | MSE=2.9686e-05 | MAE=4.3791e-04 | MaxAE=6.8051e-02 | Sum_hw=0.9317 | PASS
Test 193 | rand-143 N=302                 | N=302 | MSE=5.8861e-06 | MAE=2.4088e-04 | MaxAE=3.5761e-02 | Sum_hw=1.0188 | PASS
Test 194 | rand-144 N=172                 | N=172 | MSE=2.4513e-05 | MAE=3.8662e-04 | MaxAE=6.4914e-02 | Sum_hw=0.9335 | PASS
Test 195 | rand-145 N=199                 | N=199 | MSE=4.7020e-06 | MAE=2.4911e-04 | MaxAE=2.8114e-02 | Sum_hw=1.0168 | PASS
Test 196 | rand-146 N=328                 | N=328 | MSE=5.2778e-06 | MAE=2.4224e-04 | MaxAE=3.8682e-02 | Sum_hw=1.0393 | PASS
Test 197 | rand-147 N=316                 | N=316 | MSE=2.5168e-06 | MAE=1.2522e-04 | MaxAE=2.6693e-02 | Sum_hw=0.9775 | PASS
Test 198 | rand-148 N=303                 | N=303 | MSE=2.2301e-05 | MAE=4.0629e-04 | MaxAE=7.9252e-02 | Sum_hw=1.0354 | PASS
Test 199 | rand-149 N=217                 | N=217 | MSE=4.8310e-06 | MAE=2.1433e-04 | MaxAE=2.9383e-02 | Sum_hw=0.9535 | PASS
Test 200 | rand-150 N=496                 | N=496 | MSE=2.9113e-06 | MAE=9.8930e-05 | MaxAE=3.5506e-02 | Sum_hw=1.0219 | PASS
Test 201 | rand-151 N=306                 | N=306 | MSE=4.3529e-06 | MAE=2.0123e-04 | MaxAE=3.0506e-02 | Sum_hw=1.0056 | PASS
Test 202 | rand-152 N=190                 | N=190 | MSE=2.2245e-05 | MAE=4.9224e-04 | MaxAE=4.9303e-02 | Sum_hw=1.0051 | PASS
Test 203 | rand-153 N=368                 | N=368 | MSE=2.1768e-06 | MAE=1.3148e-04 | MaxAE=2.2758e-02 | Sum_hw=0.9971 | PASS
Test 204 | rand-154 N=397                 | N=397 | MSE=7.8962e-07 | MAE=9.3789e-05 | MaxAE=1.1351e-02 | Sum_hw=0.9710 | PASS
Test 205 | rand-155 N=426                 | N=426 | MSE=1.0787e-05 | MAE=1.6007e-04 | MaxAE=6.7789e-02 | Sum_hw=0.9318 | PASS
Test 206 | rand-156 N=408                 | N=408 | MSE=1.0194e-05 | MAE=1.6239e-04 | MaxAE=6.4479e-02 | Sum_hw=0.9337 | PASS
Test 207 | rand-157 N=316                 | N=316 | MSE=2.2295e-05 | MAE=3.7305e-04 | MaxAE=8.0411e-02 | Sum_hw=1.0429 | PASS
Test 208 | rand-158 N=441                 | N=441 | MSE=9.9749e-06 | MAE=1.5328e-04 | MaxAE=6.6321e-02 | Sum_hw=0.9324 | PASS
Test 209 | rand-159 N=251                 | N=251 | MSE=4.7837e-06 | MAE=1.5660e-04 | MaxAE=3.4288e-02 | Sum_hw=1.0393 | PASS
Test 210 | rand-160 N=391                 | N=391 | MSE=9.9280e-06 | MAE=2.5993e-04 | MaxAE=5.7315e-02 | Sum_hw=1.0287 | PASS
Test 211 | rand-161 N=38                  | N=38 | MSE=1.2324e-04 | MAE=1.8009e-03 | MaxAE=6.8432e-02 | Sum_hw=0.9316 | PASS
Test 212 | rand-162 N=148                 | N=148 | MSE=3.0748e-05 | MAE=7.1560e-04 | MaxAE=5.8776e-02 | Sum_hw=1.0138 | PASS
Test 213 | rand-163 N=426                 | N=426 | MSE=4.9279e-06 | MAE=1.4218e-04 | MaxAE=4.2948e-02 | Sum_hw=1.0253 | PASS
Test 214 | rand-164 N=345                 | N=345 | MSE=3.1875e-06 | MAE=2.7908e-04 | MaxAE=1.8241e-02 | Sum_hw=0.9369 | PASS
Test 215 | rand-165 N=45                  | N=45 | MSE=1.0407e-04 | MAE=1.5208e-03 | MaxAE=6.8435e-02 | Sum_hw=0.9316 | PASS
Test 216 | rand-166 N=345                 | N=345 | MSE=1.3555e-05 | MAE=2.9422e-04 | MaxAE=4.8389e-02 | Sum_hw=0.9976 | PASS
Test 217 | rand-167 N=489                 | N=489 | MSE=9.4516e-06 | MAE=2.4507e-04 | MaxAE=4.2762e-02 | Sum_hw=0.9516 | PASS
Test 218 | rand-168 N=64                  | N=64 | MSE=2.1587e-05 | MAE=7.7796e-04 | MaxAE=3.3562e-02 | Sum_hw=0.9502 | PASS
Test 219 | rand-169 N=467                 | N=467 | MSE=7.9384e-06 | MAE=2.4445e-04 | MaxAE=3.8301e-02 | Sum_hw=0.9568 | PASS
Test 220 | rand-170 N=68                  | N=68 | MSE=4.5315e-05 | MAE=8.8950e-04 | MaxAE=5.5264e-02 | Sum_hw=0.9395 | PASS
Test 221 | rand-171 N=212                 | N=212 | MSE=6.9557e-06 | MAE=6.2922e-04 | MaxAE=2.7225e-02 | Sum_hw=1.1210 | PASS
Test 222 | rand-172 N=119                 | N=119 | MSE=3.8292e-05 | MAE=5.7111e-04 | MaxAE=6.7502e-02 | Sum_hw=0.9320 | PASS
Test 223 | rand-173 N=79                  | N=79 | MSE=9.5722e-05 | MAE=1.6355e-03 | MaxAE=7.0224e-02 | Sum_hw=0.9731 | PASS
Test 224 | rand-174 N=333                 | N=333 | MSE=7.9836e-07 | MAE=1.0273e-04 | MaxAE=9.8560e-03 | Sum_hw=0.9658 | PASS
Test 225 | rand-175 N=398                 | N=398 | MSE=1.1576e-05 | MAE=2.2614e-04 | MaxAE=6.3212e-02 | Sum_hw=1.0364 | PASS
Test 226 | rand-176 N=29                  | N=29 | MSE=1.6150e-04 | MAE=2.3599e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 227 | rand-177 N=437                 | N=437 | MSE=3.7147e-06 | MAE=1.1665e-04 | MaxAE=3.9380e-02 | Sum_hw=1.0278 | PASS
Test 228 | rand-178 N=70                  | N=70 | MSE=5.6673e-05 | MAE=9.4278e-04 | MaxAE=6.2909e-02 | Sum_hw=0.9340 | PASS
Test 229 | rand-179 N=302                 | N=302 | MSE=8.9542e-06 | MAE=2.9412e-04 | MaxAE=4.0781e-02 | Sum_hw=1.0040 | PASS
Test 230 | rand-180 N=406                 | N=406 | MSE=9.9380e-06 | MAE=5.4214e-04 | MaxAE=4.2953e-02 | Sum_hw=1.2184 | PASS
Test 231 | rand-181 N=307                 | N=307 | MSE=1.4142e-05 | MAE=5.1941e-04 | MaxAE=5.5711e-02 | Sum_hw=1.1513 | PASS
Test 232 | rand-182 N=393                 | N=393 | MSE=1.3669e-05 | MAE=3.4308e-04 | MaxAE=6.8204e-02 | Sum_hw=1.1103 | PASS
Test 233 | rand-183 N=394                 | N=394 | MSE=6.1434e-06 | MAE=2.0985e-04 | MaxAE=4.1402e-02 | Sum_hw=1.0001 | PASS
Test 234 | rand-184 N=394                 | N=394 | MSE=1.2992e-05 | MAE=2.4546e-04 | MaxAE=6.8016e-02 | Sum_hw=1.0393 | PASS
Test 235 | rand-185 N=146                 | N=146 | MSE=3.2072e-05 | MAE=4.6874e-04 | MaxAE=6.8429e-02 | Sum_hw=0.9316 | PASS
Test 236 | rand-186 N=256                 | N=256 | MSE=1.1313e-06 | MAE=1.2756e-04 | MaxAE=1.4570e-02 | Sum_hw=0.9707 | PASS
Test 237 | rand-187 N=358                 | N=358 | MSE=1.5854e-05 | MAE=3.4504e-04 | MaxAE=6.6631e-02 | Sum_hw=1.0664 | PASS
Test 238 | rand-188 N=289                 | N=289 | MSE=7.0619e-06 | MAE=1.9298e-04 | MaxAE=4.4719e-02 | Sum_hw=0.9442 | PASS
Test 239 | rand-189 N=323                 | N=323 | MSE=6.8840e-06 | MAE=2.7908e-04 | MaxAE=3.7973e-02 | Sum_hw=1.0284 | PASS
Test 240 | rand-190 N=237                 | N=237 | MSE=1.9751e-05 | MAE=2.8876e-04 | MaxAE=6.8417e-02 | Sum_hw=0.9316 | PASS
Test 241 | rand-191 N=457                 | N=457 | MSE=6.8857e-06 | MAE=2.8988e-04 | MaxAE=5.1208e-02 | Sum_hw=1.1257 | PASS
Test 242 | rand-192 N=104                 | N=104 | MSE=4.4448e-05 | MAE=6.5671e-04 | MaxAE=6.7989e-02 | Sum_hw=0.9317 | PASS
Test 243 | rand-193 N=154                 | N=154 | MSE=4.0668e-06 | MAE=2.0148e-04 | MaxAE=2.4395e-02 | Sum_hw=1.0178 | PASS
Test 244 | rand-194 N=453                 | N=453 | MSE=1.6075e-05 | MAE=2.8422e-04 | MaxAE=7.9458e-02 | Sum_hw=1.0309 | PASS
Test 245 | rand-195 N=105                 | N=105 | MSE=1.8464e-05 | MAE=5.4867e-04 | MaxAE=4.0745e-02 | Sum_hw=1.0239 | PASS
Test 246 | rand-196 N=25                  | N=25 | MSE=9.5709e-05 | MAE=2.3419e-03 | MaxAE=4.7697e-02 | Sum_hw=0.9415 | PASS
Test 247 | rand-197 N=485                 | N=485 | MSE=4.1929e-06 | MAE=1.5353e-04 | MaxAE=4.0391e-02 | Sum_hw=1.0063 | PASS
Test 248 | rand-198 N=77                  | N=77 | MSE=7.3567e-05 | MAE=1.3238e-03 | MaxAE=6.6287e-02 | Sum_hw=1.0306 | PASS
Test 249 | rand-199 N=300                 | N=300 | MSE=1.7577e-06 | MAE=1.3010e-04 | MaxAE=1.9354e-02 | Sum_hw=0.9997 | PASS
Test 250 | rand-200 N=399                 | N=399 | MSE=1.9087e-05 | MAE=3.4670e-04 | MaxAE=8.4331e-02 | Sum_hw=1.0380 | PASS
Test 251 | rand-201 N=277                 | N=277 | MSE=5.6627e-06 | MAE=2.2145e-04 | MaxAE=3.0725e-02 | Sum_hw=1.0001 | PASS
Test 252 | rand-202 N=353                 | N=353 | MSE=1.9223e-06 | MAE=1.0487e-04 | MaxAE=2.1490e-02 | Sum_hw=0.9630 | PASS
Test 253 | rand-203 N=49                  | N=49 | MSE=9.5574e-05 | MAE=1.3966e-03 | MaxAE=6.8433e-02 | Sum_hw=0.9316 | PASS
Test 254 | rand-204 N=158                 | N=158 | MSE=3.1102e-06 | MAE=2.3951e-04 | MaxAE=2.0130e-02 | Sum_hw=0.9622 | PASS
Test 255 | rand-205 N=413                 | N=413 | MSE=1.0965e-05 | MAE=2.4074e-04 | MaxAE=5.2543e-02 | Sum_hw=1.0057 | PASS
Test 256 | rand-206 N=259                 | N=259 | MSE=7.2620e-06 | MAE=3.5639e-04 | MaxAE=3.6526e-02 | Sum_hw=0.9845 | PASS
Test 257 | rand-207 N=276                 | N=276 | MSE=1.1569e-05 | MAE=3.2547e-04 | MaxAE=5.1704e-02 | Sum_hw=0.9102 | PASS
Test 258 | rand-208 N=111                 | N=111 | MSE=8.8537e-05 | MAE=5.4644e-03 | MaxAE=4.0996e-02 | Sum_hw=1.6066 | PASS
Test 259 | rand-209 N=293                 | N=293 | MSE=1.4500e-05 | MAE=4.4799e-04 | MaxAE=5.6758e-02 | Sum_hw=1.1257 | PASS
Test 260 | rand-210 N=352                 | N=352 | MSE=8.6227e-06 | MAE=1.7140e-04 | MaxAE=5.4882e-02 | Sum_hw=0.9397 | PASS
Test 261 | rand-211 N=465                 | N=465 | MSE=2.0117e-05 | MAE=3.0059e-04 | MaxAE=9.2208e-02 | Sum_hw=1.0520 | PASS
Test 262 | rand-212 N=46                  | N=46 | MSE=3.4879e-06 | MAE=3.8744e-04 | MaxAE=1.0917e-02 | Sum_hw=0.9822 | PASS
Test 263 | rand-213 N=367                 | N=367 | MSE=6.3776e-06 | MAE=1.9983e-04 | MaxAE=4.5755e-02 | Sum_hw=1.0182 | PASS
Test 264 | rand-214 N=211                 | N=211 | MSE=3.7985e-05 | MAE=6.2947e-04 | MaxAE=8.2652e-02 | Sum_hw=1.0325 | PASS
Test 265 | rand-215 N=152                 | N=152 | MSE=3.2496e-05 | MAE=7.0361e-04 | MaxAE=5.8174e-02 | Sum_hw=1.0094 | PASS
Test 266 | rand-216 N=82                  | N=82 | MSE=1.8546e-05 | MAE=4.9378e-04 | MaxAE=3.8968e-02 | Sum_hw=1.0374 | PASS
Test 267 | rand-217 N=18                  | N=18 | MSE=2.6019e-04 | MAE=3.8020e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 268 | rand-218 N=70                  | N=70 | MSE=1.0384e-05 | MAE=7.2073e-04 | MaxAE=1.6932e-02 | Sum_hw=0.9834 | PASS
Test 269 | rand-219 N=386                 | N=386 | MSE=1.6931e-05 | MAE=3.0777e-04 | MaxAE=7.7190e-02 | Sum_hw=1.0364 | PASS
Test 270 | rand-220 N=146                 | N=146 | MSE=1.9269e-05 | MAE=7.1019e-04 | MaxAE=4.4605e-02 | Sum_hw=1.0607 | PASS
Test 271 | rand-221 N=263                 | N=263 | MSE=7.8512e-06 | MAE=2.1707e-04 | MaxAE=4.4750e-02 | Sum_hw=1.0324 | PASS
Test 272 | rand-222 N=51                  | N=51 | MSE=9.1832e-05 | MAE=1.3419e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 273 | rand-223 N=129                 | N=129 | MSE=2.3479e-05 | MAE=4.7633e-04 | MaxAE=5.4856e-02 | Sum_hw=0.9386 | PASS
Test 274 | rand-224 N=183                 | N=183 | MSE=2.5593e-05 | MAE=3.7397e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 275 | rand-225 N=419                 | N=419 | MSE=1.1039e-05 | MAE=1.6286e-04 | MaxAE=6.8011e-02 | Sum_hw=0.9318 | PASS
Test 276 | rand-226 N=211                 | N=211 | MSE=2.2890e-05 | MAE=5.1337e-04 | MaxAE=5.3001e-02 | Sum_hw=0.9977 | PASS
Test 277 | rand-227 N=433                 | N=433 | MSE=1.3464e-05 | MAE=3.0518e-04 | MaxAE=6.7334e-02 | Sum_hw=0.9315 | PASS
Test 278 | rand-228 N=11                  | N=11 | MSE=3.5765e-04 | MAE=7.6424e-03 | MaxAE=5.6185e-02 | Sum_hw=1.0283 | PASS
Test 279 | rand-229 N=83                  | N=83 | MSE=5.4937e-05 | MAE=8.2085e-04 | MaxAE=6.7524e-02 | Sum_hw=0.9319 | PASS
Test 280 | rand-230 N=308                 | N=308 | MSE=1.5182e-05 | MAE=2.2224e-04 | MaxAE=6.8382e-02 | Sum_hw=0.9315 | PASS
Test 281 | rand-231 N=336                 | N=336 | MSE=6.3786e-06 | MAE=2.0930e-04 | MaxAE=4.0971e-02 | Sum_hw=1.0325 | PASS
Test 282 | rand-232 N=163                 | N=163 | MSE=6.0271e-05 | MAE=8.4757e-04 | MaxAE=8.6594e-02 | Sum_hw=1.0350 | PASS
Test 283 | rand-233 N=219                 | N=219 | MSE=3.1429e-05 | MAE=5.6815e-04 | MaxAE=6.2637e-02 | Sum_hw=0.9839 | PASS
Test 284 | rand-234 N=112                 | N=112 | MSE=9.9005e-06 | MAE=4.2629e-04 | MaxAE=2.9509e-02 | Sum_hw=0.9523 | PASS
Test 285 | rand-235 N=405                 | N=405 | MSE=1.2639e-05 | MAE=2.9817e-04 | MaxAE=4.8131e-02 | Sum_hw=0.9765 | PASS
Test 286 | rand-236 N=117                 | N=117 | MSE=3.9495e-05 | MAE=5.8362e-04 | MaxAE=6.7976e-02 | Sum_hw=0.9317 | PASS
Test 287 | rand-237 N=446                 | N=446 | MSE=5.8294e-07 | MAE=4.7292e-05 | MaxAE=1.5464e-02 | Sum_hw=0.9878 | PASS
Test 288 | rand-238 N=307                 | N=307 | MSE=1.4706e-05 | MAE=3.7200e-04 | MaxAE=5.7078e-02 | Sum_hw=1.0018 | PASS
Test 289 | rand-239 N=397                 | N=397 | MSE=3.5959e-06 | MAE=1.5046e-04 | MaxAE=3.5634e-02 | Sum_hw=1.0115 | PASS
Test 290 | rand-240 N=257                 | N=257 | MSE=1.9882e-06 | MAE=1.4552e-04 | MaxAE=1.9788e-02 | Sum_hw=0.9626 | PASS
Test 291 | rand-241 N=126                 | N=126 | MSE=3.7170e-05 | MAE=5.4314e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 292 | rand-242 N=75                  | N=75 | MSE=6.2442e-05 | MAE=9.1248e-04 | MaxAE=6.8433e-02 | Sum_hw=0.9316 | PASS
Test 293 | rand-243 N=299                 | N=299 | MSE=2.4571e-05 | MAE=3.7937e-04 | MaxAE=8.2952e-02 | Sum_hw=1.0772 | PASS
Test 294 | rand-244 N=428                 | N=428 | MSE=4.4352e-05 | MAE=7.1549e-04 | MaxAE=1.0935e-01 | Sum_hw=1.3058 | PASS
Test 295 | rand-245 N=73                  | N=73 | MSE=6.2104e-05 | MAE=9.3204e-04 | MaxAE=6.7329e-02 | Sum_hw=0.9320 | PASS
Test 296 | rand-246 N=175                 | N=175 | MSE=1.3396e-05 | MAE=3.1049e-04 | MaxAE=4.8019e-02 | Sum_hw=0.9457 | PASS
Test 297 | rand-247 N=333                 | N=333 | MSE=1.0924e-05 | MAE=3.3376e-04 | MaxAE=4.1388e-02 | Sum_hw=0.9716 | PASS
Test 298 | rand-248 N=92                  | N=92 | MSE=1.6623e-05 | MAE=4.4285e-04 | MaxAE=3.9071e-02 | Sum_hw=1.0374 | PASS
Test 299 | rand-249 N=22                  | N=22 | MSE=2.1288e-04 | MAE=3.1107e-03 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 300 | rand-250 N=406                 | N=406 | MSE=7.0890e-06 | MAE=1.5165e-04 | MaxAE=5.3315e-02 | Sum_hw=0.9384 | PASS
Test 301 | rand-251 N=352                 | N=352 | MSE=1.3594e-05 | MAE=2.7856e-04 | MaxAE=6.3118e-02 | Sum_hw=1.0282 | PASS
Test 302 | rand-252 N=99                  | N=99 | MSE=2.8767e-05 | MAE=6.1945e-04 | MaxAE=5.2889e-02 | Sum_hw=0.9387 | PASS
Test 303 | rand-253 N=360                 | N=360 | MSE=2.1761e-06 | MAE=8.8543e-05 | MaxAE=2.7726e-02 | Sum_hw=0.9681 | PASS
Test 304 | rand-254 N= 6                  | N= 6 | MSE=7.8057e-04 | MAE=1.1406e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 305 | rand-255 N=181                 | N=181 | MSE=1.2889e-05 | MAE=4.2770e-04 | MaxAE=4.3498e-02 | Sum_hw=1.0096 | PASS
Test 306 | rand-256 N=366                 | N=366 | MSE=8.8566e-06 | MAE=2.8706e-04 | MaxAE=4.2160e-02 | Sum_hw=0.9516 | PASS
Test 307 | rand-257 N=238                 | N=238 | MSE=1.3018e-05 | MAE=3.3544e-04 | MaxAE=5.2528e-02 | Sum_hw=1.0252 | PASS
Test 308 | rand-258 N=109                 | N=109 | MSE=2.3602e-05 | MAE=5.3728e-04 | MaxAE=5.0122e-02 | Sum_hw=0.9414 | PASS
Test 309 | rand-259 N=418                 | N=418 | MSE=1.0462e-05 | MAE=2.9207e-04 | MaxAE=5.9706e-02 | Sum_hw=1.1201 | PASS
Test 310 | rand-260 N=299                 | N=299 | MSE=7.0299e-06 | MAE=2.9955e-04 | MaxAE=3.0534e-02 | Sum_hw=0.9572 | PASS
Test 311 | rand-261 N=232                 | N=232 | MSE=4.4774e-05 | MAE=1.0094e-03 | MaxAE=9.0673e-02 | Sum_hw=1.2334 | PASS
Test 312 | rand-262 N=428                 | N=428 | MSE=3.2347e-05 | MAE=1.0139e-03 | MaxAE=6.7871e-02 | Sum_hw=1.4335 | PASS
Test 313 | rand-263 N=459                 | N=459 | MSE=7.6747e-06 | MAE=2.6167e-04 | MaxAE=4.6676e-02 | Sum_hw=1.0037 | PASS
Test 314 | rand-264 N=307                 | N=307 | MSE=1.5083e-05 | MAE=2.2252e-04 | MaxAE=6.8048e-02 | Sum_hw=0.9317 | PASS
Test 315 | rand-265 N=257                 | N=257 | MSE=1.7222e-05 | MAE=4.0825e-04 | MaxAE=6.1372e-02 | Sum_hw=1.0178 | PASS
Test 316 | rand-266 N=493                 | N=493 | MSE=1.7222e-06 | MAE=9.0841e-05 | MaxAE=2.1652e-02 | Sum_hw=0.9552 | PASS
Test 317 | rand-267 N=463                 | N=463 | MSE=1.4178e-05 | MAE=2.5197e-04 | MaxAE=7.5787e-02 | Sum_hw=1.0355 | PASS
Test 318 | rand-268 N=252                 | N=252 | MSE=1.0355e-06 | MAE=1.1254e-04 | MaxAE=1.3977e-02 | Sum_hw=0.9823 | PASS
Test 319 | rand-269 N=293                 | N=293 | MSE=2.6890e-05 | MAE=9.2915e-04 | MaxAE=6.3772e-02 | Sum_hw=1.2712 | PASS
Test 320 | rand-270 N=285                 | N=285 | MSE=4.5789e-06 | MAE=2.6810e-04 | MaxAE=3.3573e-02 | Sum_hw=1.0212 | PASS
Test 321 | rand-271 N=244                 | N=244 | MSE=1.8914e-05 | MAE=2.7991e-04 | MaxAE=6.7933e-02 | Sum_hw=0.9317 | PASS
Test 322 | rand-272 N=183                 | N=183 | MSE=2.5593e-05 | MAE=3.7397e-04 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 323 | rand-273 N=488                 | N=488 | MSE=1.0149e-05 | MAE=2.0289e-04 | MaxAE=6.7616e-02 | Sum_hw=1.0479 | PASS
Test 324 | rand-274 N=498                 | N=498 | MSE=1.0518e-05 | MAE=2.0230e-04 | MaxAE=7.0291e-02 | Sum_hw=1.0399 | PASS
Test 325 | rand-275 N=276                 | N=276 | MSE=3.4105e-06 | MAE=2.1997e-04 | MaxAE=2.0736e-02 | Sum_hw=0.9698 | PASS
Test 326 | rand-276 N=156                 | N=156 | MSE=1.8667e-05 | MAE=5.0314e-04 | MaxAE=4.8233e-02 | Sum_hw=1.0180 | PASS
Test 327 | rand-277 N=222                 | N=222 | MSE=1.5631e-05 | MAE=2.8655e-04 | MaxAE=5.8739e-02 | Sum_hw=0.9364 | PASS
Test 328 | rand-278 N= 6                  | N= 6 | MSE=7.8057e-04 | MAE=1.1406e-02 | MaxAE=6.8436e-02 | Sum_hw=0.9316 | PASS
Test 329 | rand-279 N=190                 | N=190 | MSE=7.8429e-06 | MAE=2.3322e-04 | MaxAE=3.8457e-02 | Sum_hw=1.0345 | PASS
Test 330 | rand-280 N=360                 | N=360 | MSE=6.5639e-06 | MAE=1.5666e-04 | MaxAE=4.8381e-02 | Sum_hw=0.9436 | PASS
Test 331 | rand-281 N=134                 | N=134 | MSE=3.4930e-05 | MAE=5.1083e-04 | MaxAE=6.8415e-02 | Sum_hw=0.9315 | PASS
Test 332 | rand-282 N=219                 | N=219 | MSE=1.6152e-05 | MAE=4.2249e-04 | MaxAE=5.7219e-02 | Sum_hw=1.0219 | PASS
Test 333 | rand-283 N=440                 | N=440 | MSE=1.5193e-05 | MAE=2.6373e-04 | MaxAE=6.4994e-02 | Sum_hw=1.0139 | PASS
Test 334 | rand-284 N=355                 | N=355 | MSE=5.5708e-06 | MAE=8.8362e-04 | MaxAE=1.7848e-02 | Sum_hw=1.3115 | PASS
Test 335 | rand-285 N=118                 | N=118 | MSE=1.8581e-05 | MAE=4.5427e-04 | MaxAE=4.6243e-02 | Sum_hw=0.9464 | PASS
Test 336 | rand-286 N=254                 | N=254 | MSE=1.6353e-05 | MAE=3.7613e-04 | MaxAE=5.1576e-02 | Sum_hw=0.9130 | PASS
Test 337 | rand-287 N=410                 | N=410 | MSE=2.7900e-06 | MAE=2.0078e-04 | MaxAE=2.0239e-02 | Sum_hw=0.9582 | PASS
Test 338 | rand-288 N=500                 | N=500 | MSE=2.0333e-05 | MAE=3.6452e-04 | MaxAE=8.5834e-02 | Sum_hw=1.1668 | PASS
Test 339 | rand-289 N=246                 | N=246 | MSE=1.3358e-05 | MAE=2.5140e-04 | MaxAE=5.7230e-02 | Sum_hw=0.9382 | PASS
Test 340 | rand-290 N=269                 | N=269 | MSE=1.2500e-05 | MAE=2.3609e-04 | MaxAE=5.7697e-02 | Sum_hw=0.9365 | PASS
